scope,hypothesis,verdict
many_model,H1_RESOURCE_ADVANTAGE,SUPPORTED
many_model,H2_PERFORMANCE_TRANSLATION,PARTIALLY_SUPPORTED
many_model,H3_LOAD_DEPENDENCE,SUPPORTED_NON_MONOTONE
many_model,H4_ACTIVE_SET_ADAPTATION,SUPPORTED
tau,H1_TAU_CONTROLS_MIGRATION_COST,SUPPORTED
tau,H2_TAU_CREATES_REGRET_COST_TRADEOFF,PARTIALLY_SUPPORTED
tau,H3_LOW_TAU_CAUSES_EXCESS_CHURN,SUPPORTED
tau,H4_HIGH_TAU_COLLAPSES_DYNAMIC_ADAPTATION,SUPPORTED
tau,H5_TAU_EFFECT_IS_REGIME_DEPENDENT,SUPPORTED
tau,H6_GOODPUT_OPTIMUM_MATCHES_MECHANISTIC_TAU,DESCRIPTIVE_ONLY
